name,scientific_name,family,origin,description,care,image_url
Rose 1,Rosa species_1,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 2,Lavandula species_2,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 3,Quercus species_3,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 4,Acer species_4,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 5,Pinus species_5,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 6,Orchis species_6,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 7,Dryopteris species_7,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 8,Mentha species_8,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 9,Thymus species_9,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 10,Salvia species_10,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 11,Echinocactus species_11,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 12,Aloe species_12,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 13,Ficus species_13,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 14,Bambusa species_14,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 15,Tulipa species_15,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 16,Helianthus species_16,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 17,Taraxacum species_17,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 18,Betula species_18,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 19,Fagus species_19,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 20,Phoenix species_20,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 21,Rosa species_21,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 22,Lavandula species_22,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 23,Quercus species_23,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 24,Acer species_24,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 25,Pinus species_25,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 26,Orchis species_26,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 27,Dryopteris species_27,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 28,Mentha species_28,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 29,Thymus species_29,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 30,Salvia species_30,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 31,Echinocactus species_31,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 32,Aloe species_32,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 33,Ficus species_33,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 34,Bambusa species_34,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 35,Tulipa species_35,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 36,Helianthus species_36,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 37,Taraxacum species_37,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 38,Betula species_38,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 39,Fagus species_39,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 40,Phoenix species_40,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 41,Rosa species_41,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 42,Lavandula species_42,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 43,Quercus species_43,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 44,Acer species_44,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 45,Pinus species_45,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 46,Orchis species_46,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 47,Dryopteris species_47,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 48,Mentha species_48,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 49,Thymus species_49,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 50,Salvia species_50,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 51,Echinocactus species_51,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 52,Aloe species_52,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 53,Ficus species_53,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 54,Bambusa species_54,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 55,Tulipa species_55,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 56,Helianthus species_56,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 57,Taraxacum species_57,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 58,Betula species_58,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 59,Fagus species_59,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 60,Phoenix species_60,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 61,Rosa species_61,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 62,Lavandula species_62,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 63,Quercus species_63,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 64,Acer species_64,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 65,Pinus species_65,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 66,Orchis species_66,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 67,Dryopteris species_67,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 68,Mentha species_68,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 69,Thymus species_69,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 70,Salvia species_70,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 71,Echinocactus species_71,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 72,Aloe species_72,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 73,Ficus species_73,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 74,Bambusa species_74,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 75,Tulipa species_75,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 76,Helianthus species_76,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 77,Taraxacum species_77,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 78,Betula species_78,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 79,Fagus species_79,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 80,Phoenix species_80,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 81,Rosa species_81,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 82,Lavandula species_82,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 83,Quercus species_83,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 84,Acer species_84,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 85,Pinus species_85,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 86,Orchis species_86,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 87,Dryopteris species_87,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 88,Mentha species_88,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 89,Thymus species_89,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 90,Salvia species_90,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 91,Echinocactus species_91,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 92,Aloe species_92,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 93,Ficus species_93,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 94,Bambusa species_94,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 95,Tulipa species_95,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
